year,raw.data,fitted.data,Seup,Selo,metric,timeseries,order
1909,509,509,NA,NA,Millions of cubic meters,Sediment retention,22
1910,600,600,NA,NA,Millions of cubic meters,Sediment retention,22
1911,1118,1118,NA,NA,Millions of cubic meters,Sediment retention,22
1912,1438,1438,NA,NA,Millions of cubic meters,Sediment retention,22
1913,1448,1448,NA,NA,Millions of cubic meters,Sediment retention,22
1914,1982,1982,NA,NA,Millions of cubic meters,Sediment retention,22
1915,2321,2321,NA,NA,Millions of cubic meters,Sediment retention,22
1916,2894,2894,NA,NA,Millions of cubic meters,Sediment retention,22
1917,3109,3109,NA,NA,Millions of cubic meters,Sediment retention,22
1918,3125,3125,NA,NA,Millions of cubic meters,Sediment retention,22
1919,3334,3334,NA,NA,Millions of cubic meters,Sediment retention,22
1920,3413,3413,NA,NA,Millions of cubic meters,Sediment retention,22
1921,4537,4537,NA,NA,Millions of cubic meters,Sediment retention,22
1922,4545,4545,NA,NA,Millions of cubic meters,Sediment retention,22
1923,4575,4575,NA,NA,Millions of cubic meters,Sediment retention,22
1924,4677,4677,NA,NA,Millions of cubic meters,Sediment retention,22
1925,5245,5245,NA,NA,Millions of cubic meters,Sediment retention,22
1926,5855,5855,NA,NA,Millions of cubic meters,Sediment retention,22
1927,8105,8105,NA,NA,Millions of cubic meters,Sediment retention,22
1928,9417,9417,NA,NA,Millions of cubic meters,Sediment retention,22
1929,9539,9539,NA,NA,Millions of cubic meters,Sediment retention,22
1930,9650,9650,NA,NA,Millions of cubic meters,Sediment retention,22
1931,10444,10444,NA,NA,Millions of cubic meters,Sediment retention,22
1932,11842,11842,NA,NA,Millions of cubic meters,Sediment retention,22
1933,12889,12889,NA,NA,Millions of cubic meters,Sediment retention,22
1934,12890,12890,NA,NA,Millions of cubic meters,Sediment retention,22
1935,12970,12970,NA,NA,Millions of cubic meters,Sediment retention,22
1936,12987,12987,NA,NA,Millions of cubic meters,Sediment retention,22
1937,13744,13744,NA,NA,Millions of cubic meters,Sediment retention,22
1938,13780,13780,NA,NA,Millions of cubic meters,Sediment retention,22
1939,13993,13993,NA,NA,Millions of cubic meters,Sediment retention,22
1940,14091,14091,NA,NA,Millions of cubic meters,Sediment retention,22
1941,14091,14091,NA,NA,Millions of cubic meters,Sediment retention,22
1942,25896,25896,NA,NA,Millions of cubic meters,Sediment retention,22
1943,25896,25896,NA,NA,Millions of cubic meters,Sediment retention,22
1944,25897,25897,NA,NA,Millions of cubic meters,Sediment retention,22
1945,26201,26201,NA,NA,Millions of cubic meters,Sediment retention,22
1946,27307,27307,NA,NA,Millions of cubic meters,Sediment retention,22
1947,27307,27307,NA,NA,Millions of cubic meters,Sediment retention,22
1948,28453,28453,NA,NA,Millions of cubic meters,Sediment retention,22
1949,32769,32769,NA,NA,Millions of cubic meters,Sediment retention,22
1950,33383,33383,NA,NA,Millions of cubic meters,Sediment retention,22
1951,35963,35963,NA,NA,Millions of cubic meters,Sediment retention,22
1952,38815,38815,NA,NA,Millions of cubic meters,Sediment retention,22
1953,41271,41271,NA,NA,Millions of cubic meters,Sediment retention,22
1954,46887,46887,NA,NA,Millions of cubic meters,Sediment retention,22
1955,48453,48453,NA,NA,Millions of cubic meters,Sediment retention,22
1956,53090,53090,NA,NA,Millions of cubic meters,Sediment retention,22
1957,57416,57416,NA,NA,Millions of cubic meters,Sediment retention,22
1958,59196,59196,NA,NA,Millions of cubic meters,Sediment retention,22
1959,93077,93077,NA,NA,Millions of cubic meters,Sediment retention,22
1960,93809,93809,NA,NA,Millions of cubic meters,Sediment retention,22
1961,95277,95277,NA,NA,Millions of cubic meters,Sediment retention,22
1962,97193,97193,NA,NA,Millions of cubic meters,Sediment retention,22
1963,101186,101186,NA,NA,Millions of cubic meters,Sediment retention,22
1964,105394,105394,NA,NA,Millions of cubic meters,Sediment retention,22
1965,107403,107403,NA,NA,Millions of cubic meters,Sediment retention,22
1966,108489,108489,NA,NA,Millions of cubic meters,Sediment retention,22
1967,112218,112218,NA,NA,Millions of cubic meters,Sediment retention,22
1968,118429,118429,NA,NA,Millions of cubic meters,Sediment retention,22
1969,123404,123404,NA,NA,Millions of cubic meters,Sediment retention,22
1970,130893,130893,NA,NA,Millions of cubic meters,Sediment retention,22
1971,131359,131359,NA,NA,Millions of cubic meters,Sediment retention,22
1972,131371,131371,NA,NA,Millions of cubic meters,Sediment retention,22
1973,131553,131553,NA,NA,Millions of cubic meters,Sediment retention,22
1974,164150,164150,NA,NA,Millions of cubic meters,Sediment retention,22
1975,165461,165461,NA,NA,Millions of cubic meters,Sediment retention,22
1976,165478,165478,NA,NA,Millions of cubic meters,Sediment retention,22
1977,165643,165643,NA,NA,Millions of cubic meters,Sediment retention,22
1978,165976,165976,NA,NA,Millions of cubic meters,Sediment retention,22
1979,166498,166498,NA,NA,Millions of cubic meters,Sediment retention,22
1980,166653,166653,NA,NA,Millions of cubic meters,Sediment retention,22
1981,166729,166729,NA,NA,Millions of cubic meters,Sediment retention,22
1982,166821,166821,NA,NA,Millions of cubic meters,Sediment retention,22
1983,169849,169849,NA,NA,Millions of cubic meters,Sediment retention,22
1984,169851,169851,NA,NA,Millions of cubic meters,Sediment retention,22
1985,169882,169882,NA,NA,Millions of cubic meters,Sediment retention,22
1986,169973,169973,NA,NA,Millions of cubic meters,Sediment retention,22
1987,170468,170468,NA,NA,Millions of cubic meters,Sediment retention,22
1988,170644,170644,NA,NA,Millions of cubic meters,Sediment retention,22
1989,170673,170673,NA,NA,Millions of cubic meters,Sediment retention,22
1990,171497,171497,NA,NA,Millions of cubic meters,Sediment retention,22
1991,171499,171499,NA,NA,Millions of cubic meters,Sediment retention,22
1992,171524,171524,NA,NA,Millions of cubic meters,Sediment retention,22
1993,171544,171544,NA,NA,Millions of cubic meters,Sediment retention,22
1994,171566,171566,NA,NA,Millions of cubic meters,Sediment retention,22
1995,171568,171568,NA,NA,Millions of cubic meters,Sediment retention,22
1996,171571,171571,NA,NA,Millions of cubic meters,Sediment retention,22
1997,171573,171573,NA,NA,Millions of cubic meters,Sediment retention,22
1998,171573,171573,NA,NA,Millions of cubic meters,Sediment retention,22
1999,172689,172689,NA,NA,Millions of cubic meters,Sediment retention,22
2000,172869,172869,NA,NA,Millions of cubic meters,Sediment retention,22
2001,172870,172870,NA,NA,Millions of cubic meters,Sediment retention,22
2002,172870,172870,NA,NA,Millions of cubic meters,Sediment retention,22
2003,172870,172870,NA,NA,Millions of cubic meters,Sediment retention,22
2004,172871,172871,NA,NA,Millions of cubic meters,Sediment retention,22
2005,172871,172871,NA,NA,Millions of cubic meters,Sediment retention,22
2006,172871,172871,NA,NA,Millions of cubic meters,Sediment retention,22
2007,172929,172929,NA,NA,Millions of cubic meters,Sediment retention,22
2008,172930,172930,NA,NA,Millions of cubic meters,Sediment retention,22
2009,172931,172931,NA,NA,Millions of cubic meters,Sediment retention,22
2010,172931,172931,NA,NA,Millions of cubic meters,Sediment retention,22
2011,172931,172931,NA,NA,Millions of cubic meters,Sediment retention,22
2012,172921,172921,NA,NA,Millions of cubic meters,Sediment retention,22
2013,172921,172921,NA,NA,Millions of cubic meters,Sediment retention,22
2014,172872,172872,NA,NA,Millions of cubic meters,Sediment retention,22
1986,6.746194656,6.746194656,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1987,6.596237781,6.596237781,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1988,6.498416403,6.498416403,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1989,6.378615777,6.378615777,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1990,5.698690453,5.698690453,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1991,5.537665174,5.537665174,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1992,5.873122601,5.873122601,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1993,6.531995465,6.531995465,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1994,6.394626918,6.394626918,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1995,7.14396571,7.14396571,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1996,7.243603049,7.243603049,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1997,7.148451925,7.148451925,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1998,6.80369887,6.80369887,NA,NA,Production (1000s mt),Shellfish aquaculture,23
1999,7.378424149,7.378424149,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2000,8.260049152,8.260049152,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2001,8.648658556,8.648658556,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2002,8.963496095,8.963496095,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2003,9.573740087,9.573740087,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2004,10.58950159,10.58950159,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2005,11.81121697,11.81121697,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2006,11.749845,11.749845,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2007,11.50935389,11.50935389,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2008,11.64936077,11.64936077,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2009,11.20382025,11.20382025,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2010,11.47349457,11.47349457,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2011,11.56528964,11.56528964,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2012,11.60740883,11.60740883,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2013,11.67193539,11.67193539,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2014,11.44478206,11.44478206,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2015,11.8120308,11.8120308,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2016,11.9146161,11.9146161,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2017,10.87301941,10.87301941,NA,NA,Production (1000s mt),Shellfish aquaculture,23
2002,37.322,37.322,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2003,35.044,35.044,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2004,31.882,31.882,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2005,34.791,34.791,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2006,30.723,30.723,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2007,32.493,32.493,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2008,35.854,35.854,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2009,40.172,40.172,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2010,35.108,35.108,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2011,28.679,28.679,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2012,26.766,26.766,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2013,27.457,27.457,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2014,25.336,25.336,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2015,27.181,27.181,NA,NA,Total fishing mortality (1000s mt),"Groundfish, no  hake",24
2002,132.445,132.445,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2003,144.468,144.468,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2004,220.388,220.388,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2005,261.846,261.846,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2006,268.374,268.374,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2007,221.771,221.771,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2008,250.275,250.275,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2009,124.264,124.264,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2010,171.766,171.766,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2011,231.189,231.189,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2012,160.187,160.187,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2013,233.444,233.444,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2014,264.867,264.867,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
2015,155.586,155.586,NA,NA,Total fishing mortality (1000s mt),Pacific hake,25
1999,373.32,373.32,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2000,299.728,299.728,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2001,297.72,297.72,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2002,245.5594509,245.5594509,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2003,226.263445,226.263445,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2004,159.000841,159.000841,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2005,170.8695639,170.8695639,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2006,181.0444285,181.0444285,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2007,194.684911,194.684911,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2008,223.8502388,223.8502388,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2009,259.2938028,259.2938028,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2010,207.7959841,207.7959841,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2011,121.9857735,121.9857735,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2012,117.453439,117.453439,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2013,133.6329817,133.6329817,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2014,108.976595,108.976595,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2015,97.35288244,97.35288244,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2016,92.65045701,92.65045701,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2017,87.64926409,87.64926409,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2018,76.45269539,76.45269539,NA,NA,1000s km,Bottom trawl contact with seafloor habitat,26
2002,0.006204129,0.006204129,NA,NA,1000s hrs,"Gear contact (hard, lower slope habitat in Central ecoregion)",27
2003,0.001001419,0.001001419,NA,NA,1000s hrs,"Gear contact (hard, lower slope habitat in Central ecoregion)",27
2004,0.000278185,0.000278185,NA,NA,1000s hrs,"Gear contact (hard, lower slope habitat in Central ecoregion)",27
2004,0.000495958,0.000495958,NA,NA,1000s hrs,"Gear contact (hard, lower slope habitat in Northern ecoregion)",28
2002,0.256776756,0.256776756,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2003,0.124234303,0.124234303,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2004,0.13480059,0.13480059,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2005,0.085541936,0.085541936,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2006,0.075560594,0.075560594,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2007,0.067204749,0.067204749,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2008,0.062543697,0.062543697,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2009,0.048340303,0.048340303,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2010,0.09170312,0.09170312,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2011,0.072776292,0.072776292,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2012,0.060357872,0.060357872,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2013,0.077586929,0.077586929,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2014,0.07317186,0.07317186,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2015,0.086342601,0.086342601,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2016,0.061616091,0.061616091,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2017,0.010117595,0.010117595,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2018,0.036603742,0.036603742,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Central ecoregion)",29
2002,0.752492663,0.752492663,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2003,0.506974298,0.506974298,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2004,0.819797523,0.819797523,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2005,0.54395672,0.54395672,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2006,0.622991663,0.622991663,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2007,0.283953177,0.283953177,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2008,0.129170526,0.129170526,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2009,0.362715955,0.362715955,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2010,0.213142798,0.213142798,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2011,0.232009774,0.232009774,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2012,0.204463148,0.204463148,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2013,0.256533427,0.256533427,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2014,0.284782402,0.284782402,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2015,0.296191782,0.296191782,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2016,0.278407486,0.278407486,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2017,0.221925345,0.221925345,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2018,0.182162257,0.182162257,NA,NA,1000s hrs,"Gear contact (hard, shelf habitat in Northern ecoregion)",30
2002,1.36650962,1.36650962,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2003,2.178964577,2.178964577,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2004,1.008573866,1.008573866,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2005,0.860028413,0.860028413,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2006,0.567469056,0.567469056,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2007,0.15451938,0.15451938,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2008,0.509895622,0.509895622,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2009,0.442364281,0.442364281,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2010,0.195027822,0.195027822,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2011,0.455838117,0.455838117,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2012,2.116647205,2.116647205,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2013,1.083365713,1.083365713,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2014,1.009011916,1.009011916,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2015,1.10910057,1.10910057,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2016,0.906256655,0.906256655,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2017,0.284060938,0.284060938,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2018,0.056342766,0.056342766,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Central ecoregion)",31
2002,0.494859639,0.494859639,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2003,0.351416079,0.351416079,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2004,0.279474578,0.279474578,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2005,0.252038462,0.252038462,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2006,0.204665241,0.204665241,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2007,0.290346755,0.290346755,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2008,0.475435949,0.475435949,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2009,0.536195189,0.536195189,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2010,0.613916247,0.613916247,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2011,0.240355467,0.240355467,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2012,0.338362512,0.338362512,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2013,0.340795393,0.340795393,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2014,0.315229617,0.315229617,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2015,0.233970353,0.233970353,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2016,0.262756714,0.262756714,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2017,0.290371749,0.290371749,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2018,0.28584599,0.28584599,NA,NA,1000s hrs,"Gear contact (hard, upper slope habitat in Northern ecoregion)",32
2002,0.006524376,0.006524376,NA,NA,1000s hrs,"Gear contact (mixed, lower slope habitat in Northern ecoregion)",33
2002,0.015692274,0.015692274,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2003,0.058882377,0.058882377,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2004,0.021849628,0.021849628,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2005,0.038946493,0.038946493,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2006,0.010686551,0.010686551,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2007,0.021323973,0.021323973,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2010,0.002115822,0.002115822,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2014,3.23E-05,3.23E-05,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Central ecoregion)",34
2002,1.445830031,1.445830031,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2003,0.672891776,0.672891776,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2004,0.312850708,0.312850708,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2005,0.556991633,0.556991633,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2006,0.297799248,0.297799248,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2007,0.091175306,0.091175306,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2008,0.075647168,0.075647168,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2009,0.12818683,0.12818683,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2010,0.09059912,0.09059912,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2011,0.018978747,0.018978747,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2012,0.018197967,0.018197967,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2013,0.008273292,0.008273292,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2014,0.033758187,0.033758187,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2015,0.066383097,0.066383097,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2016,0.032379176,0.032379176,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2017,0.016617793,0.016617793,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2018,0.038146252,0.038146252,NA,NA,1000s hrs,"Gear contact (mixed, shelf habitat in Northern ecoregion)",35
2002,0.027088111,0.027088111,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2003,0.070886549,0.070886549,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2004,0.043004521,0.043004521,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2005,0.014925096,0.014925096,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2006,0.048033971,0.048033971,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2007,0.048354705,0.048354705,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2008,0.03433826,0.03433826,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2010,0.023472275,0.023472275,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2011,0.003168,0.003168,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2012,0.008165079,0.008165079,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2013,0.002742718,0.002742718,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2014,0.013711413,0.013711413,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Central ecoregion)",36
2002,4.297706115,4.297706115,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2003,3.888999529,3.888999529,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2004,2.805012929,2.805012929,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2005,2.666428579,2.666428579,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2006,3.00132568,3.00132568,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2007,3.956551503,3.956551503,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2008,5.347674602,5.347674602,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2009,9.524757054,9.524757054,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
2010,6.153438597,6.153438597,NA,NA,1000s hrs,"Gear contact (mixed, upper slope habitat in Northern ecoregion)",37
