Year,index,sd,SE,metric,timeseries,data.type,data.type2,SElo,SEup,Notes,SE_type
1977,0.471187503,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1978,0.761604135,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1979,0.534276898,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1980,0.525671876,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1981,0.587241832,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1982,0.614157051,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1983,0.5776636,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1984,0.73104611,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1985,0.755514841,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1986,0.808568248,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1987,0.783961038,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1988,0.814688316,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1989,0.901119365,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1990,0.726272381,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1991,0.670006995,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1992,0.862071718,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1993,0.772459465,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1994,0.622877474,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1995,0.904254409,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1996,0.698441287,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1997,0.800353699,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1998,0.725458022,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1999,1.975653807,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2000,1.264088323,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2001,0.621061178,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2002,0.822362567,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2003,1.576069789,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2004,1.335649323,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2005,1.579903693,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2006,1.558920579,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2007,1.232605851,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2008,1.696246871,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2009,1.444153085,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2010,1.232278234,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2011,1.732846414,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2012,1.777004559,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2013,1.692853691,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2014,1.556607756,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2015,1.882778176,,,Relative biomass index,Skipjack tuna,biomass,,,,,
2016,2.244900704,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1975,0.711231071,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1976,0.670778208,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1977,0.476052462,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1978,0.927661324,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1979,0.649988202,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1980,0.702759273,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1981,0.785503915,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1982,0.720881803,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1983,0.573305705,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1984,0.682635861,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1985,0.59801484,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1986,0.644519932,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1987,0.617889244,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1988,0.677173099,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1989,0.839067186,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1990,0.531238694,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1991,0.569787634,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1992,0.819041834,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1993,0.584089095,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1994,0.503886323,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1995,0.946531981,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1996,0.583636171,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1997,0.850167338,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1998,0.804724991,,,Recruitment index,Skipjack tuna,recruitment,,,,,
1999,2.503386429,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2000,0.755524843,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2001,0.50947604,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2002,1.042081224,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2003,1.898896808,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2004,1.275718776,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2005,1.634319429,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2006,1.589498539,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2007,1.295357256,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2008,1.900606932,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2009,1.427640357,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2010,1.177548732,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2011,1.881773216,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2012,1.797228275,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2013,1.634732989,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2014,1.577974764,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2015,2.082897181,,,Recruitment index,Skipjack tuna,recruitment,,,,,
2016,2.472783038,,,Recruitment index,Skipjack tuna,recruitment,,,,,
